"sf__Id","sf__Error",Name,ParentProductId,ChildProductId,Quantity,MinQuantity,MaxQuantity,IsComponentRequired,Sequence,DoesBundlePriceIncludeChild
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Essentials - DCS for Windows","01tdp000006JEGlAAO","01tdp000006HfpoAAC","1.0","1.0","999.0","true","10","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Essentials - Data Detection Engine","01tdp000006JEGlAAO","01tdp000006HfpkAAC","1.0","1.0","999.0","true","20","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Essentials - DCS Getting Started Package","01tdp000006JEGlAAO","01tdp000006HfprAAC","1.0","1.0","999.0","true","30","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Advanced - DCS for Windows","01tdp000006JEGjAAO","01tdp000006HfpoAAC","1.0","1.0","999.0","true","40","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Advanced - Data Detection Engine","01tdp000006JEGjAAO","01tdp000006HfpkAAC","1.0","1.0","999.0","true","50","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Advanced - DCS Admin Console","01tdp000006JEGjAAO","01tdp000006HfpnAAC","1.0","1.0","999.0","true","60","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Advanced - DCS Analysis Collector","01tdp000006JEGjAAO","01tdp000006HfpmAAC","1.0","1.0","999.0","true","70","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Advanced - DCS for OWA","01tdp000006JEGjAAO","01tdp000006HfppAAC","1.0","0.0","999.0","false","80","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Elite - DCS for Windows","01tdp000006JEGkAAO","01tdp000006HfpoAAC","1.0","1.0","999.0","true","90","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Elite - Data Detection Engine","01tdp000006JEGkAAO","01tdp000006HfpkAAC","1.0","1.0","999.0","true","100","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Elite - DCS Admin Console","01tdp000006JEGkAAO","01tdp000006HfpnAAC","1.0","1.0","999.0","true","110","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Elite - DCS Analysis Collector","01tdp000006JEGkAAO","01tdp000006HfpmAAC","1.0","1.0","999.0","true","120","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Elite - DCS for OWA","01tdp000006JEGkAAO","01tdp000006HfppAAC","1.0","1.0","999.0","true","130","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Elite - Unlimited Classification","01tdp000006JEGkAAO","01tdp000006HfplAAC","1.0","1.0","999.0","true","140","true"
"","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Name. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Name --","DCS Elite - Software Development Kit","01tdp000006JEGkAAO","01tdp000006HfpqAAC","1.0","0.0","999.0","false","150","true"
