Name,Pricebook2Id,Product2Id,ProductCode,UnitPrice,IsActive,UseStandardPrice,ProductSellingModelId
,01sa5000001vuxlAAA,01tdp000006HfphAAC,CYB-DCS-ESS-BUN,5000,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpiAAC,CYB-DCS-ADV-BUN,5000,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpjAAC,CYB-DCS-ELITE-BUN,5000,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpkAAC,CYB-DCS-DDE-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfplAAC,CYB-DCS-UC-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpmAAC,CYB-DCS-ACOL-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpnAAC,CYB-DCS-ACON-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpoAAC,CYB-DCS-FW-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfppAAC,CYB-DCS-OWA-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpqAAC,CYB-DCS-SDK-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfprAAC,CYB-DCS-QS-CMP,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpsAAC,CYB-DCS-MAIL-ADD,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfptAAC,CYB-DCS-PMD-ADD,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpuAAC,CYB-DCS-PM365-ADD,250,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpvAAC,CYB-DP-PS1-SVC,1200,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpwAAC,CYB-DP-PS2-SVC,1800,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpxAAC,CYB-DP-PS3-SVC,2000,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpyAAC,CYB-DP-TRN-SVC,2500,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006HfpzAAC,CYB-SUP-T1-SVC,1200,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006Hfq0AAC,CYB-SUP-T2-SVC,1800,True,,0jPdp00000000zREAQ
,01sa5000001vuxlAAA,01tdp000006Hfq1AAC,CYB-SUP-T3-SVC,2000,True,,0jPdp00000000zREAQ
