Name,ProductCategoryId*,ProductId*,External_ID__c
1,0ZGa5000000dwx2GAA,01ta5000007bvSQAAY,1
2,0ZGa5000000dwx2GAA,01ta5000007bvSRAAY,2
3,0ZGa5000000dwx2GAA,01ta5000007bvShAAI,3
4,0ZGa5000000dwx3GAA,01ta5000007bvSgAAI,4
5,0ZGa5000000dwx4GAA,01ta5000007bvSSAAY,5
6,0ZGa5000000dwx4GAA,01ta5000007bvSUAAY,6
7,0ZGa5000000dwx4GAA,01ta5000007bvSVAAY,7
8,0ZGa5000000dwx4GAA,01ta5000007bvSaAAI,8
9,0ZGa5000000dwx4GAA,01ta5000007bvSeAAI,9
10,0ZGa5000000dwx4GAA,01ta5000007bvScAAI,10
11,0ZGa5000000dwx4GAA,01ta5000007bvSZAAY,11
12,0ZGa5000000dwx4GAA,01ta5000007bvSiAAI,12
13,0ZGa5000000dwx1GAA,01ta5000007bvSPAAY,13
14,0ZGa5000000dwx5GAA,01ta5000007bvSfAAI,14
15,0ZGa5000000dwx6GAA,01ta5000007bvSbAAI,15
16,0ZGa5000000dwx7GAA,01ta5000007bvSTAAY,16
17,0ZGa5000000dwx8GAA,01ta5000007bvSdAAI,17
18,0ZGa5000000dwwzGAA,01ta5000007bvSWAAY,18
19,0ZGa5000000dwwzGAA,01ta5000007bvSXAAY,19
20,0ZGa5000000dwwzGAA,01ta5000007bvSYAAY,20
21,0ZGa5000000dwx0GAA,01ta5000007bvSjAAI,21
22,0ZGa5000000dwx8GAA,01ta5000007bvSlAAI,22
23,0ZGa5000000dwwzGAA,01ta5000007bvSkAAI,23
24,0ZGa5000000dwx9GAA,01ta5000007bvSmAAI,24
25,0ZGa5000000dwx9GAA,01ta5000007bvSnAAI,25
26,0ZGa5000000dwx9GAA,01ta5000007bvSoAAI,26
27,0ZGa5000000dwx9GAA,01ta5000007bvSpAAI,27
28,0ZGa5000000dwx9GAA,01ta5000007bvSqAAI,28
29,0ZGa5000000dwx9GAA,01ta5000007bvSrAAI,29
30,0ZGa5000000dwx9GAA,01ta5000007bvStAAI,30
31,0ZGa5000000dwx9GAA,01ta5000007bvSsAAI,31
32,0ZGa5000000dwx8GAA,01ta5000007bvSuAAI,32
36,0ZGa5000000e1bhGAA,01ta5000007dAJeAAM,36
37,0ZGa5000000e1bhGAA,01ta5000007d5LaAAI,37
38,0ZGa5000000e1bhGAA,01ta5000007dDW1AAM,38
39,0ZGa5000000e1qDGAQ,01ta5000007dDkXAAU,39
