Pricebook2Id,Product2Id,UnitPrice,IsActive,ProductSellingModelId
01sa5000001vuxlAAA,01tdp000006HfphAAC,5000,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpiAAC,5000,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpjAAC,5000,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpkAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfplAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpmAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpnAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpoAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfppAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpqAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfprAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpsAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfptAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpuAAC,250,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpvAAC,1200,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpwAAC,1800,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpxAAC,2000,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpyAAC,2500,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006HfpzAAC,1200,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006Hfq0AAC,1800,True,0jPdp00000000zREAQ
01sa5000001vuxlAAA,01tdp000006Hfq1AAC,2000,True,0jPdp00000000zREAQ
